Run Name,20220809_S200_16600_sfpqTEVdig
Run Date,04:43:33 PM   08-09-22
Method Name,S200_16/600_overnight_pumpA
Export Format Version, 1.00
Method ID,  859
Points/Second, 0.25
Number of Records,  15160
Offset from Run Start Time,00:00:00
Run End Time,16:48:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (205.0 nm), AU
QuadTec 4, (488.0 nm), AU
Trace 5,<Not Selected>
Conductivity,mS/cm
GP Pressure,PSI
Volume,ml
Fraction,Tube Number
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume,Fraction
     0.0,0.000195,0.000138,  0,-0.014195,0.000955,  42.335,    5,     0.0,0
     4.0,-0.004831,-0.005783,  0,-0.026302,-0.003507,  42.096,   18,     0.1,0
     8.0,-0.003863,-0.004788,  0,-0.026282,-0.002240,  42.020,   18,     0.1,0
    12.0,-0.003351,-0.004301,  0,-0.029969,-0.001607,  41.947,   19,     0.2,0
    16.0,-0.003080,-0.004016,  0,-0.030071,-0.001502,  41.857,   20,     0.3,0
    20.0,-0.002288,-0.003482,  0,-0.030051,-0.001235,  41.749,   20,     0.3,0
    24.0,-0.001858,-0.002678,  0,-0.030152,-0.000930,  41.648,   20,     0.4,0
    28.0,-0.002035,-0.002779,  0,-0.033726,-0.000881,  41.575,   20,     0.5,0
    32.0,-0.002288,-0.003050,  0,-0.033706,-0.001203,  41.521,   20,     0.5,0
    36.0,-0.002468,-0.003271,  0,-0.033807,-0.001140,  41.446,   20,     0.6,0
    40.0,-0.002600,-0.003433,  0,-0.033828,-0.001327,  41.386,   20,     0.7,0
    44.0,-0.002692,-0.003583,  0,-0.030071,-0.001365,  41.322,   20,     0.7,0
    48.0,-0.002766,-0.003687,  0,-0.033686,-0.001183,  41.245,   20,     0.8,0
    52.0,-0.002853,-0.003778,  0,-0.033767,-0.001164,  41.144,   20,     0.9,0
    56.0,-0.002911,-0.003863,  0,-0.037371,-0.001168,  41.051,   20,     0.9,0
    60.0,0.000000,-0.003932,  0,-0.037290,-0.001183,  40.948,   19,     1.0,0
    64.0,-0.000069,-0.000057,  0,0.003000,0.000376,  40.846,   19,     1.1,0
    68.0,-0.000118,-0.000133,  0,0.003101,0.000260,  40.721,   20,     1.1,0
    72.0,-0.000208,-0.000198,  0,-0.000505,0.000193,  40.587,   20,     1.2,0
    76.0,-0.000247,-0.000261,  0,-0.003961,0.000165,  40.447,   20,     1.3,0
    80.0,-0.000277,-0.000299,  0,-0.007450,0.000236,  40.303,   20,     1.3,0
    84.0,-0.000342,-0.000346,  0,-0.007369,0.000207,  40.196,   21,     1.4,0
    88.0,-0.000405,-0.000434,  0,-0.003880,0.000093,  40.092,   21,     1.5,0
    92.0,-0.000452,-0.000496,  0,-0.007429,0.000231,  40.001,   20,     1.5,0
    96.0,-0.000495,-0.000550,  0,-0.007490,0.000173,  39.924,   20,     1.6,0
   100.0,-0.000602,-0.000627,  0,-0.004002,0.000212,  39.844,   20,     1.7,0
   104.0,-0.000679,-0.000681,  0,-0.007470,0.000231,  39.758,   21,     1.7,0
   108.0,-0.000707,-0.000742,  0,-0.007612,0.000227,  39.673,   20,     1.8,0
   112.0,-0.000786,-0.000805,  0,-0.014343,0.000183,  39.548,   21,     1.9,0
   116.0,-0.000842,-0.000876,  0,-0.007409,0.000111,  39.432,   21,     1.9,0
   120.0,-0.000862,-0.000923,  0,-0.010910,0.000184,  39.320,   21,     2.0,0
   124.0,-0.000914,-0.000918,  0,-0.010951,0.000178,  39.240,   20,     2.1,0
   128.0,-0.000988,-0.000989,  0,-0.010910,0.000227,  39.150,   20,     2.1,0
   132.0,-0.001059,-0.001079,  0,-0.007288,0.000159,  39.042,   20,     2.2,0
   136.0,-0.001128,-0.001132,  0,-0.010971,0.000155,  38.964,   21,     2.3,0
   140.0,-0.001211,-0.001213,  0,-0.010930,0.000111,  38.879,   20,     2.3,0
   144.0,-0.001264,-0.001265,  0,-0.007510,0.000154,  38.792,   20,     2.4,0
   148.0,-0.001326,-0.001320,  0,-0.007490,0.000063,  38.699,   21,     2.5,0
   152.0,-0.001367,-0.001365,  0,-0.010971,0.000068,  38.618,   21,     2.5,0
   156.0,-0.001420,-0.001403,  0,-0.011031,0.000077,  38.548,   21,     2.6,0
   160.0,-0.001486,-0.001439,  0,-0.011011,0.000154,  38.469,   20,     2.7,0
   164.0,-0.001538,-0.001515,  0,-0.007429,0.000144,  38.390,   21,     2.7,0
   168.0,-0.001565,-0.001550,  0,-0.007530,0.000111,  38.308,   21,     2.8,0
   172.0,-0.001631,-0.001571,  0,-0.007551,0.000086,  38.207,   21,     2.9,0
   176.0,-0.001689,-0.001631,  0,-0.007530,0.000086,  38.116,   20,     2.9,0
   180.0,-0.001719,-0.001676,  0,-0.007470,0.000115,  38.031,   21,     3.0,0
   184.0,-0.001797,-0.001700,  0,-0.007409,0.000283,  37.937,   20,     3.1,0
   188.0,-0.001849,-0.001727,  0,-0.007389,0.000191,  37.871,   20,     3.1,0
   192.0,-0.001926,-0.001771,  0,-0.007470,0.000192,  37.780,   21,     3.2,0
   196.0,-0.001975,-0.001838,  0,-0.004042,0.000096,  37.710,   20,     3.3,0
   200.0,-0.002049,-0.001867,  0,-0.000505,0.000154,  37.648,   21,     3.3,0
   204.0,-0.002113,-0.001884,  0,-0.000485,0.000196,  37.567,   21,     3.4,0
   208.0,-0.002132,-0.001936,  0,-0.003921,0.000355,  37.480,   21,     3.5,0
   212.0,-0.002188,-0.001961,  0,-0.003739,0.000253,  37.405,   21,     3.5,0
   216.0,-0.002299,-0.002015,  0,-0.000404,0.000239,  37.318,   21,     3.6,0
   220.0,-0.002361,-0.002084,  0,-0.000404,0.000306,  37.248,   20,     3.7,0
   224.0,-0.002435,-0.002129,  0,-0.000364,0.000269,  37.201,   20,     3.7,0
   228.0,-0.002525,-0.002198,  0,-0.003840,0.000206,  37.168,   21,     3.8,0
   232.0,-0.002615,-0.002265,  0,-0.000424,0.000236,  37.149,   21,     3.9,0
   236.0,-0.002707,-0.002329,  0,-0.000323,0.000250,  37.097,   20,     3.9,0
   240.0,-0.002803,-0.002401,  0,-0.000445,0.000245,  37.057,   20,     4.0,0
   244.0,-0.002913,-0.002463,  0,-0.000424,0.000206,  37.006,   21,     4.1,0
   248.0,-0.002993,-0.002550,  0,0.003101,0.000120,  36.951,   21,     4.1,0
   252.0,-0.003083,-0.002602,  0,0.003141,0.000010,  36.901,   20,     4.2,0
   256.0,-0.003159,-0.002663,  0,-0.000323,0.000105,  36.841,   20,     4.3,0
   260.0,-0.003255,-0.002695,  0,0.003181,-0.000037,  36.751,   21,     4.3,0
   264.0,-0.003339,-0.002792,  0,0.006736,0.000139,  36.677,   21,     4.4,0
   268.0,-0.003409,-0.002829,  0,0.006716,-0.000010,  36.582,   21,     4.5,0
   272.0,-0.003500,-0.002893,  0,0.010360,0.000086,  36.506,   20,     4.5,0
   276.0,-0.003611,-0.002943,  0,0.003263,0.000068,  36.418,   20,     4.6,0
   280.0,-0.003679,-0.002999,  0,0.010401,0.000034,  36.369,   21,     4.7,0
   284.0,-0.003786,-0.003079,  0,0.010582,-0.000052,  36.324,   20,     4.7,0
   288.0,-0.003877,-0.003127,  0,0.006776,0.000020,  36.270,   21,     4.8,0
   292.0,-0.003964,-0.003202,  0,0.006796,-0.000051,  36.221,   21,     4.9,0
   296.0,-0.004068,-0.003262,  0,0.006817,0.000011,  36.184,   21,     4.9,0
   300.0,-0.004166,-0.003320,  0,0.006736,0.000006,  36.157,   21,     5.0,0
   304.0,-0.004257,-0.003386,  0,0.010481,0.000116,  36.121,   20,     5.1,0
   308.0,-0.004354,-0.003418,  0,0.010380,-0.000062,  36.076,   20,     5.1,0
   312.0,-0.004449,-0.003493,  0,0.013994,-0.000023,  36.027,   20,     5.2,0
   316.0,-0.004553,-0.003538,  0,0.013974,0.000025,  35.971,   20,     5.3,0
   320.0,-0.004665,-0.003602,  0,0.010299,0.000050,  35.932,   20,     5.3,0
   324.0,-0.004764,-0.003672,  0,0.010481,0.000039,  35.904,   20,     5.4,0
   328.0,-0.004864,-0.003737,  0,0.010441,-0.000032,  35.858,   20,     5.5,0
   332.0,-0.004973,-0.003794,  0,0.014055,-0.000051,  35.830,   20,     5.5,0
   336.0,-0.005068,-0.003868,  0,0.010401,-0.000056,  35.803,   21,     5.6,0
   340.0,-0.005177,-0.003936,  0,0.010441,0.000011,  35.781,   21,     5.7,0
   344.0,-0.005289,-0.004011,  0,0.010481,-0.000014,  35.761,   21,     5.7,0
   348.0,-0.005386,-0.004071,  0,0.010360,-0.000023,  35.737,   21,     5.8,0
   352.0,-0.005496,-0.004135,  0,0.010380,-0.000128,  35.718,   21,     5.9,0
