Run Name,20220809_S200_16600_sfpqTEVdig_part2
Run Date,09:38:14 AM   08-10-22
Method Name,S200_16/600_finishabortedrun.2
Export Format Version, 1.00
Method ID,  861
Points/Second, 2.00
Number of Records,   8421
Offset from Run Start Time,00:00:00
Run End Time,01:10:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (205.0 nm), AU
QuadTec 4, (488.0 nm), AU
Trace 5,<Not Selected>
Conductivity,mS/cm
GP Pressure,PSI
Volume,ml
Fraction,Tube Number
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume,Fraction
     0.0,0.009465,0.002809,  0,0.050138,0.001233,  56.051,   13,     0.0,0
     0.5,0.009463,0.002806,  0,0.050138,0.001216,  56.048,   17,     0.0, 33
     1.0,0.009465,0.002809,  0,0.050102,0.001214,  56.060,   17,     0.0, 33
     1.5,0.009473,0.002809,  0,0.050039,0.001213,  56.066,   19,     0.0, 33
     2.0,0.009473,0.002809,  0,0.050030,0.001228,  56.076,   19,     0.0, 33
     2.5,0.009486,0.002859,  0,0.050102,0.001237,  56.081,   19,     0.0, 33
     3.0,0.008964,0.002566,  0,0.046733,0.001189,  56.082,   19,     0.1, 33
     3.5,0.006926,-0.000390,  0,0.044623,0.001179,  56.089,   19,     0.1, 33
     4.0,0.003492,-0.003209,  0,0.042459,0.001669,  56.096,   19,     0.1, 33
     4.5,0.003240,-0.003922,  0,0.034625,0.001101,  56.088,   19,     0.1, 33
     5.0,0.003829,-0.003288,  0,0.030737,-0.001191,  56.091,   20,     0.1, 33
     5.5,0.003998,-0.003206,  0,0.034580,-0.004344,  56.098,   20,     0.1, 33
     6.0,0.004031,-0.003107,  0,0.034471,-0.003940,  56.096,   19,     0.1, 33
     6.5,0.004240,-0.002976,  0,0.036228,-0.003822,  56.097,   19,     0.1, 33
     7.0,0.004450,-0.002861,  0,0.034181,-0.003719,  56.103,   20,     0.1, 33
     7.5,0.004589,-0.002707,  0,0.034055,-0.003596,  56.103,   20,     0.1, 33
     8.0,0.004712,-0.002575,  0,0.034000,-0.003279,  56.102,   19,     0.1, 33
     8.5,0.004871,-0.002488,  0,0.035984,-0.003096,  56.109,   19,     0.1, 33
     9.0,0.004990,-0.002428,  0,0.030176,-0.002976,  56.110,   20,     0.2, 33
     9.5,0.005106,-0.002335,  0,0.032278,-0.002848,  56.114,   20,     0.2, 33
    10.0,0.005197,-0.002260,  0,0.030393,-0.002678,  56.109,   20,     0.2, 33
    10.5,0.005260,-0.002192,  0,0.032179,-0.002574,  56.111,   20,     0.2, 33
    11.0,0.005324,-0.002134,  0,0.030194,-0.002412,  56.112,   21,     0.2, 33
    11.5,0.005389,-0.002093,  0,0.032151,-0.002268,  56.109,   21,     0.2, 33
    12.0,0.005446,-0.002052,  0,0.034091,-0.002270,  56.109,   20,     0.2, 33
    12.5,0.005481,-0.002010,  0,0.030212,-0.002261,  56.111,   20,     0.2, 33
    13.0,0.005537,-0.001975,  0,0.030176,-0.002237,  56.110,   21,     0.2, 33
    13.5,0.005582,-0.001942,  0,0.032106,-0.002190,  56.105,   21,     0.2, 33
    14.0,0.005617,-0.001908,  0,0.034036,-0.002162,  56.101,   21,     0.2, 33
    14.5,0.005654,-0.001877,  0,0.030176,-0.002107,  56.098,   21,     0.2, 33
    15.0,0.005687,-0.001841,  0,0.030194,-0.002099,  56.098,   21,     0.3, 33
    15.5,0.005733,-0.001816,  0,0.032124,-0.002071,  56.095,   21,     0.3, 33
    16.0,0.005779,-0.001782,  0,0.034073,-0.002096,  56.090,   21,     0.3, 33
    16.5,0.005809,-0.001752,  0,0.030221,-0.002031,  56.094,   21,     0.3, 33
    17.0,0.005824,-0.001733,  0,0.030194,-0.002024,  56.093,   21,     0.3, 33
    17.5,0.005858,-0.001703,  0,0.032124,-0.001931,  56.089,   21,     0.3, 33
    18.0,0.005874,-0.001691,  0,0.034073,-0.001814,  56.091,   21,     0.3, 33
    18.5,0.005907,-0.001679,  0,0.032133,-0.001834,  56.093,   22,     0.3, 33
    19.0,0.005939,-0.001640,  0,0.030158,-0.001782,  56.089,   22,     0.3, 33
    19.5,0.006019,-0.001573,  0,0.032070,-0.001770,  56.092,   21,     0.3, 33
    20.0,0.006124,-0.001486,  0,0.030158,-0.001844,  56.095,   21,     0.3, 33
    20.5,0.006239,-0.001361,  0,0.028254,-0.001792,  56.090,   21,     0.3, 33
    21.0,0.006341,-0.001198,  0,0.030158,-0.001759,  56.104,   21,     0.3, 33
    21.5,0.006511,-0.001013,  0,0.032097,-0.001683,  56.097,   21,     0.4, 33
    22.0,0.006686,-0.000868,  0,0.034036,-0.001555,  56.105,   21,     0.4, 33
    22.5,0.006852,-0.000715,  0,0.034027,-0.001469,  56.105,   22,     0.4, 33
    23.0,0.006973,-0.000574,  0,0.030158,-0.001436,  56.115,   22,     0.4, 33
    23.5,0.007074,-0.000413,  0,0.032097,-0.001403,  56.120,   21,     0.4, 33
    24.0,0.007168,-0.000327,  0,0.034127,-0.001284,  56.128,   21,     0.4, 33
    24.5,0.007256,-0.000258,  0,0.034199,-0.001181,  56.127,   21,     0.4, 33
    25.0,0.007343,-0.000192,  0,0.034109,-0.001155,  56.143,   22,     0.4, 33
    25.5,0.007392,-0.000109,  0,0.034272,-0.001139,  56.146,   21,     0.4, 33
    26.0,0.007419,-0.000078,  0,0.034199,-0.001128,  56.159,   21,     0.4, 33
    26.5,0.007443,-0.000053,  0,0.036038,-0.001152,  56.167,   21,     0.4, 33
    27.0,0.007444,-0.000041,  0,0.037950,-0.001119,  56.197,   22,     0.4, 33
    27.5,0.007436,-0.000052,  0,0.034073,-0.001099,  56.205,   21,     0.5, 33
    28.0,0.007407,-0.000087,  0,0.034055,-0.001085,  56.212,   22,     0.5, 33
    28.5,0.007376,-0.000105,  0,0.036029,-0.001224,  56.217,   22,     0.5, 33
    29.0,0.007362,-0.000123,  0,0.034073,-0.001200,  56.227,   21,     0.5, 33
    29.5,0.007355,-0.000153,  0,0.030176,-0.001106,  56.235,   21,     0.5, 33
    30.0,0.007345,-0.000149,  0,0.034036,-0.001032,  56.243,   22,     0.5, 33
    30.5,0.007320,-0.000162,  0,0.034055,-0.001001,  56.252,   22,     0.5, 33
    31.0,0.007315,-0.000176,  0,0.030176,-0.000898,  56.258,   21,     0.5, 33
    31.5,0.007308,-0.000181,  0,0.026368,-0.000948,  56.270,   22,     0.5, 33
    32.0,0.007299,-0.000226,  0,0.026331,-0.001033,  56.281,   21,     0.5, 33
    32.5,0.007284,-0.000255,  0,0.028236,-0.001026,  56.282,   21,     0.5, 33
    33.0,0.007253,-0.000283,  0,0.034073,-0.001009,  56.285,   22,     0.6, 33
    33.5,0.007230,-0.000300,  0,0.030393,-0.000992,  56.298,   22,     0.6, 33
    34.0,0.007232,-0.000318,  0,0.030321,-0.001023,  56.297,   21,     0.6, 33
    34.5,0.007224,-0.000347,  0,0.032206,-0.001109,  56.312,   21,     0.6, 33
    35.0,0.007196,-0.000347,  0,0.034109,-0.001238,  56.338,   22,     0.6, 33
    35.5,0.007199,-0.000347,  0,0.030276,-0.001303,  56.342,   22,     0.6, 33
    36.0,0.007190,-0.000352,  0,0.030212,-0.001310,  56.349,   21,     0.6, 33
    36.5,0.007182,-0.000357,  0,0.032124,-0.001212,  56.348,   21,     0.6, 33
    37.0,0.007178,-0.000366,  0,0.034055,-0.001157,  56.349,   21,     0.6, 33
    37.5,0.007178,-0.000385,  0,0.030203,-0.000997,  56.353,   21,     0.6, 33
    38.0,0.007190,-0.000395,  0,0.030212,-0.000922,  56.357,   21,     0.6, 33
    38.5,0.007193,-0.000400,  0,0.028462,-0.000954,  56.356,   22,     0.6, 33
