Run Name,180725_dPPR10_only
Run Date,12:40:53 PM   07-26-18
Method Name,S200_5/150 FRET_WL
Export Format Version, 1.00
Method ID, 9545
Points/Second, 5.00
Number of Records,   6260
Offset from Run Start Time,00:00:00
Run End Time,00:20:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Trace 5,<Not Selected>
Trace 6,<Not Selected>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2
     0.0,0.000000,0.000000
     0.2,0.000000,0.000000
     0.4,0.000000,0.000000
     0.6,0.000000,0.000000
     0.8,0.000000,0.000000
     1.0,0.000000,0.000000
     1.2,0.000000,0.000003
     1.4,0.000000,0.000003
     1.6,-0.000006,-0.000001
     1.8,0.000001,0.000004
     2.0,0.000001,0.000004
     2.2,0.000001,0.000009
     2.4,0.000000,-0.000001
     2.6,0.000007,0.000008
     2.8,0.000013,0.000008
     3.0,0.000013,0.000008
     3.2,0.000020,-0.000002
     3.4,0.000034,0.000004
     3.6,0.000040,0.000008
     3.8,0.000040,0.000011
     4.0,0.000040,0.000014
     4.2,0.000034,0.000017
     4.4,0.000047,0.000017
     4.6,0.000054,0.000012
     4.8,0.000061,0.000012
     5.0,0.000068,0.000014
     5.2,0.000061,0.000019
     5.4,0.000068,0.000005
     5.6,0.000068,0.000011
     5.8,0.000068,0.000008
     6.0,0.000074,0.000003
     6.2,0.000075,-0.000003
     6.4,0.000075,-0.000003
     6.6,0.000068,-0.000003
     6.8,0.000081,-0.000003
     7.0,0.000075,-0.000003
     7.2,0.000081,-0.000007
     7.4,0.000074,-0.000007
     7.6,0.000095,-0.000003
     7.8,0.000088,-0.000003
     8.0,0.000095,0.000002
     8.2,0.000088,0.000005
     8.4,0.000102,0.000005
     8.6,0.000095,-0.000001
     8.8,0.000101,0.000004
     9.0,0.000101,-0.000001
     9.2,0.000101,0.000004
     9.4,0.000101,0.000005
     9.6,0.000101,0.000000
     9.8,0.000100,0.000003
    10.0,0.000094,-0.000002
    10.2,0.000086,-0.000003
    10.4,0.000079,-0.000008
    10.6,0.000100,-0.000004
    10.8,0.000085,-0.000004
    11.0,0.000093,0.000002
    11.2,0.000099,0.000002
    11.4,0.000106,0.000007
    11.6,0.000113,0.000003
    11.8,0.000127,0.000009
    12.0,0.000126,0.000009
    12.2,0.000112,0.000005
    12.4,0.000112,0.000001
    12.6,0.000112,0.000003
    12.8,0.000105,0.000002
    13.0,0.000112,0.000011
    13.2,0.000113,0.000016
    13.4,0.000119,0.000020
    13.6,0.000133,0.000024
    13.8,0.000133,0.000023
    14.0,0.000147,0.000022
    14.2,0.000154,0.000017
    14.4,0.000146,0.000022
    14.6,0.000153,0.000017
    14.8,0.000153,0.000029
    15.0,0.000146,0.000033
    15.2,0.000153,0.000033
    15.4,0.000153,0.000042
    15.6,0.000160,0.000041
    15.8,0.000153,0.000041
    16.0,0.000166,0.000042
    16.2,0.000180,0.000044
    16.4,0.000187,0.000044
    16.6,0.000193,0.000053
    16.8,0.000200,0.000048
    17.0,0.000200,0.000052
    17.2,0.000199,0.000052
    17.4,0.000207,0.000056
    17.6,0.000199,0.000055
    17.8,0.000200,0.000055
    18.0,0.000193,0.000054
    18.2,0.000213,0.000059
    18.4,0.000206,0.000059
    18.6,0.000220,0.000064
    18.8,0.000219,0.000063
    19.0,0.000233,0.000068
    19.2,0.000233,0.000067
    19.4,0.000233,0.000072
    19.6,0.000233,0.000072
    19.8,0.000233,0.000066
    20.0,0.000226,0.000065
    20.2,0.000226,0.000060
    20.4,0.000219,0.000064
    20.6,0.000219,0.000059
    20.8,0.000219,0.000064
    21.0,0.000219,0.000068
    21.2,0.000219,0.000064
    21.4,0.000226,0.000073
    21.6,0.000226,0.000065
    21.8,0.000233,0.000069
    22.0,0.000226,0.000074
    22.2,0.000233,0.000069
    22.4,0.000233,0.000069
    22.6,0.000233,0.000068
    22.8,0.000226,0.000058
    23.0,0.000226,0.000058
    23.2,0.000226,0.000058
    23.4,0.000226,0.000058
    23.6,0.000225,0.000064
    23.8,0.000232,0.000070
    24.0,0.000232,0.000074
    24.2,0.000232,0.000074
    24.4,0.000246,0.000073
    24.6,0.000247,0.000083
    24.8,0.000253,0.000087
    25.0,0.000247,0.000082
    25.2,0.000267,0.000087
    25.4,0.000253,0.000093
    25.6,0.000253,0.000087
    25.8,0.000253,0.000093
    26.0,0.000267,0.000089
    26.2,0.000267,0.000085
    26.4,0.000280,0.000084
    26.6,0.000280,0.000079
    26.8,0.000280,0.000079
    27.0,0.000273,0.000082
    27.2,0.000287,0.000081
    27.4,0.000280,0.000076
    27.6,0.000280,0.000086
    27.8,0.000273,0.000090
    28.0,0.000287,0.000090
    28.2,0.000273,0.000095
    28.4,0.000287,0.000092
    28.6,0.000294,0.000092
    28.8,0.000293,0.000096
    29.0,0.000293,0.000095
    29.2,0.000300,0.000100
    29.4,0.000286,0.000095
    29.6,0.000300,0.000097
    29.8,0.000286,0.000099
    30.0,0.000279,0.000099
    30.2,0.000300,0.000103
    30.4,0.000286,0.000107
    30.6,0.000300,0.000116
    30.8,0.000293,0.000115
    31.0,0.000314,0.000121
    31.2,0.000300,0.000111
    31.4,0.000307,0.000112
    31.6,0.000300,0.000107
    31.8,0.000307,0.000115
    32.0,0.000293,0.000105
    32.2,0.000300,0.000109
    32.4,0.000307,0.000104
    32.6,0.000313,0.000109
    32.8,0.000313,0.000124
    33.0,0.000313,0.000124
    33.2,0.000320,0.000124
    33.4,0.000327,0.000119
    33.6,0.000327,0.000120
    33.8,0.000319,0.000114
    34.0,0.000326,0.000120
    34.2,0.000319,0.000114
    34.4,0.000313,0.000115
    34.6,0.000306,0.000110
    34.8,0.000312,0.000115
    35.0,0.000313,0.000106
    35.2,0.000313,0.000112
    35.4,0.000319,0.000112
    35.6,0.000306,0.000112
    35.8,0.000313,0.000107
    36.0,0.000313,0.000108
    36.2,0.000327,0.000107
    36.4,0.000319,0.000107
    36.6,0.000327,0.000110
    36.8,0.000326,0.000110
    37.0,0.000340,0.000114
    37.2,0.000333,0.000110
    37.4,0.000334,0.000111
    37.6,0.000327,0.000115
    37.8,0.000333,0.000110
    38.0,0.000319,0.000114
    38.2,0.000320,0.000118
    38.4,0.000327,0.000118
    38.6,0.000320,0.000114
    38.8,0.000320,0.000119
    39.0,0.000320,0.000126
    39.2,0.000327,0.000125
    39.4,0.000327,0.000115
    39.6,0.000333,0.000115
    39.8,0.000333,0.000120
    40.0,0.000333,0.000123
    40.2,0.000333,0.000122
    40.4,0.000333,0.000127
    40.6,0.000333,0.000126
    40.8,0.000326,0.000121
    41.0,0.000326,0.000116
    41.2,0.000319,0.000118
    41.4,0.000319,0.000122
    41.6,0.000319,0.000114
    41.8,0.000333,0.000128
    42.0,0.000326,0.000128
    42.2,0.000333,0.000123
    42.4,0.000339,0.000119
    42.6,0.000353,0.000124
    42.8,0.000360,0.000124
    43.0,0.000373,0.000124
    43.2,0.000360,0.000123
    43.4,0.000353,0.000128
    43.6,0.000346,0.000128
    43.8,0.000360,0.000132
    44.0,0.000346,0.000126
    44.2,0.000360,0.000130
    44.4,0.000352,0.000128
    44.6,0.000360,0.000134
    44.8,0.000352,0.000127
    45.0,0.000360,0.000133
    45.2,0.000360,0.000137
    45.4,0.000346,0.000133
    45.6,0.000346,0.000134
    45.8,0.000346,0.000134
    46.0,0.000345,0.000132
    46.2,0.000346,0.000134
    46.4,0.000346,0.000128
    46.6,0.000339,0.000128
    46.8,0.000352,0.000128
    47.0,0.000346,0.000136
    47.2,0.000346,0.000143
    47.4,0.000345,0.000142
    47.6,0.000352,0.000133
    47.8,0.000352,0.000133
    48.0,0.000359,0.000134
    48.2,0.000352,0.000133
    48.4,0.000338,0.000134
    48.6,0.000332,0.000133
    48.8,0.000332,0.000138
    49.0,0.000338,0.000137
    49.2,0.000345,0.000137
    49.4,0.000352,0.000128
    49.6,0.000352,0.000123
    49.8,0.000352,0.000133
    50.0,0.000360,0.000134
    50.2,0.000346,0.000140
    50.4,0.000339,0.000144
    50.6,0.000360,0.000134
    50.8,0.000346,0.000139
    51.0,0.000360,0.000129
    51.2,0.000359,0.000128
    51.4,0.000367,0.000133
    51.6,0.000359,0.000132
    51.8,0.000366,0.000132
    52.0,0.000373,0.000131
    52.2,0.000359,0.000131
    52.4,0.000359,0.000126
    52.6,0.000359,0.000127
    52.8,0.000365,0.000126
    53.0,0.000366,0.000127
    53.2,0.000366,0.000133
    53.4,0.000359,0.000133
    53.6,0.000373,0.000137
    53.8,0.000366,0.000136
    54.0,0.000367,0.000141
    54.2,0.000366,0.000145
    54.4,0.000367,0.000140
    54.6,0.000366,0.000134
    54.8,0.000373,0.000134
    55.0,0.000373,0.000128
    55.2,0.000373,0.000134
    55.4,0.000373,0.000135
    55.6,0.000373,0.000137
    55.8,0.000373,0.000146
    56.0,0.000373,0.000150
    56.2,0.000373,0.000154
    56.4,0.000373,0.000154
    56.6,0.000373,0.000158
    56.8,0.000373,0.000160
    57.0,0.000387,0.000156
    57.2,0.000386,0.000162
    57.4,0.000386,0.000156
    57.6,0.000379,0.000162
    57.8,0.000387,0.000157
    58.0,0.000386,0.000156
    58.2,0.000379,0.000156
    58.4,0.000372,0.000151
    58.6,0.000372,0.000150
    58.8,0.000372,0.000150
    59.0,0.000379,0.000150
    59.2,0.000380,0.000156
    59.4,0.000394,0.000156
    59.6,0.000380,0.000152
    59.8,0.000393,0.000156
    60.0,0.000393,0.000152
    60.2,0.000386,0.000146
    60.4,0.000393,0.000154
    60.6,0.000393,0.000142
    60.8,0.000400,0.000150
    61.0,0.000393,0.000145
    61.2,0.000399,0.000155
    61.4,0.000392,0.000150
    61.6,0.000393,0.000156
    61.8,0.000399,0.000156
    62.0,0.000413,0.000157
    62.2,0.000413,0.000153
    62.4,0.000420,0.000154
    62.6,0.000413,0.000148
    62.8,0.000413,0.000155
    63.0,0.000406,0.000155
    63.2,0.000399,0.000151
    63.4,0.000399,0.000155
    63.6,0.000392,0.000155
    63.8,0.000399,0.000155
    64.0,0.000392,0.000155
    64.2,0.000399,0.000155
    64.4,0.000392,0.000144
    64.6,0.000399,0.000148
    64.8,0.000413,0.000148
    65.0,0.000413,0.000148
    65.2,0.000419,0.000143
    65.4,0.000419,0.000154
    65.6,0.000419,0.000148
    65.8,0.000419,0.000155
    66.0,0.000405,0.000155
    66.2,0.000405,0.000155
    66.4,0.000398,0.000160
    66.6,0.000412,0.000155
    66.8,0.000405,0.000159
    67.0,0.000405,0.000158
    67.2,0.000413,0.000162
    67.4,0.000412,0.000152
    67.6,0.000413,0.000162
    67.8,0.000412,0.000156
    68.0,0.000419,0.000160
    68.2,0.000411,0.000150
    68.4,0.000411,0.000155
    68.6,0.000411,0.000155
    68.8,0.000411,0.000155
    69.0,0.000411,0.000166
    69.2,0.000411,0.000167
    69.4,0.000411,0.000167
    69.6,0.000412,0.000173
    69.8,0.000405,0.000173
    70.0,0.000398,0.000173
    70.2,0.000412,0.000173
    70.4,0.000419,0.000178
    70.6,0.000425,0.000174
    70.8,0.000425,0.000169
    71.0,0.000432,0.000168
    71.2,0.000438,0.000167
